movies,winner,category
Parasite,1,Academy Award for Best Picture
Ford v Ferrari,0,Academy Award for Best Picture
The Irishman,0,Academy Award for Best Picture
Jojo Rabbit,0,Academy Award for Best Picture
Joker,0,Academy Award for Best Picture
Little Women,0,Academy Award for Best Picture
Marriage Story,0,Academy Award for Best Picture
1917,0,Academy Award for Best Picture
Once Upon a Time in Hollywood,0,Academy Award for Best Picture
Bong Joon-ho,1,Academy Award for Best Director
Martin Scorsese,0,Academy Award for Best Director
Todd Phillips,0,Academy Award for Best Director
Sam Mendes,0,Academy Award for Best Director
Quentin Tarantino,0,Academy Award for Best Director
Joaquin Phoenix,1,Academy Award for Best Actor
Antonio Banderas,0,Academy Award for Best Actor
Leonardo DiCaprio,0,Academy Award for Best Actor
Adam Driver,0,Academy Award for Best Actor
Jonathan Pryce,0,Academy Award for Best Actor
Renée Zellweger,1,Academy Award for Best Actress
Cynthia Erivo,0,Academy Award for Best Actress
Scarlett Johansson,0,Academy Award for Best Actress
Saoirse Ronan,0,Academy Award for Best Actress
Charlize Theron,0,Academy Award for Best Actress
Brad Pitt,1,Academy Award for Best Supporting Actor
Tom Hanks,0,Academy Award for Best Supporting Actor
Anthony Hopkins,0,Academy Award for Best Supporting Actor
Al Pacino,0,Academy Award for Best Supporting Actor
Joe Pesci,0,Academy Award for Best Supporting Actor
Laura Dern,1,Academy Award for Best Supporting Actress
Kathy Bates,0,Academy Award for Best Supporting Actress
Scarlett Johansson,0,Academy Award for Best Supporting Actress
Florence Pugh,0,Academy Award for Best Supporting Actress
Margot Robbie,0,Academy Award for Best Supporting Actress
Parasite,1,Academy Award for Best Original Screenplay
Knives Out,0,Academy Award for Best Original Screenplay
Marriage Story,0,Academy Award for Best Original Screenplay
1917,0,Academy Award for Best Original Screenplay
Once Upon a Time in Hollywood,0,Academy Award for Best Original Screenplay
Jojo Rabbit,1,Academy Award for Best Adapted Screenplay
The Irishman,0,Academy Award for Best Adapted Screenplay
Joker,0,Academy Award for Best Adapted Screenplay
Little Women,0,Academy Award for Best Adapted Screenplay
The Two Popes,0,Academy Award for Best Adapted Screenplay
Toy Story 4,1,Academy Award for Best Animated Feature
